Mexican_onyx	1460	87	1
aeroembolism	1460	116	1
air_embolism	1460	117	1
alabaster	1460	884	1
albite	1460	927	1
anorthite	1460	694	1
bunny	1460	56	1
bunny_girl	1460	378	1
busboy	1460	86	1
calcite	1460	408	1
captain	1460	694	1
carhop	1460	323	1
chalk	1460	366	1
coronary	1460	981	1
coronary_occlusion	1460	540	1
coronary_thrombosis	1460	197	1
counterman	1460	632	1
counterperson	1460	842	1
counterwoman	1460	32	1
dining-room_attendant	1460	814	1
embolism	1460	76	1
fat_embolism	1460	636	1
feldspar	1460	887	1
felspar	1460	334	1
gas_embolism	1460	724	1
headwaiter	1460	589	1
laryngospasm	1460	925	1
maitre_d'	1460	511	1
maitre_d'hotel	1460	333	1
moonstone	1460	331	1
occlusion	1460	363	1
oligoclase	1460	433	1
onyx_marble	1460	524	1
oriental_alabaster	1460	201	1
orthoclase	1460	204	1
plagioclase	1460	790	1
pulmonary_embolism	1460	799	1
restaurant_attendant	1460	216	1
server	1460	383	1
soda_jerk	1460	611	1
soda_jerker	1460	942	1
sommelier	1460	556	1
spar	1460	86	1
thromboembolism	1460	468	1
thrombosis	1460	717	1
waiter	1460	318	1
waiter's_assistant	1460	623	1
waitress	1460	575	1
white_feldspar	1460	614	1
wine_steward	1460	998	1
wine_waiter	1460	185	1
